Catégorie,Français,Anglais,Allemand,Espagnol
Moteur,Bloc moteur,Engine block,Motorblock,Bloque motor
Moteur,Culasse,Cylinder head,Zylinderkopf,Culata
Moteur,Arbre à cames,Camshaft,Nockenwelle,Árbol de levas
Moteur,Vilebrequin,Crankshaft,Kurbelwelle,Cigüeñal
Moteur,Piston,Piston,Kolben,Pistón
Moteur,Bielle,Connecting rod,Pleuelstange,Biela
Moteur,Segment de piston,Piston ring,Kolbenring,Anillo de pistón
Moteur,Carter d'huile,Oil pan,Ölwanne,Cárter de aceite
Moteur,Soupape d'admission,Intake valve,Einlassventil,Válvula de admisión
Moteur,Soupape d'échappement,Exhaust valve,Auslassventil,Válvula de escape
Moteur,Poussoir hydraulique,Hydraulic lifter,Hydrostößel,Taqué hidráulico
Moteur,Joint de culasse,Cylinder head gasket,Zylinderkopfdichtung,Junta de culata
Moteur,Pompe à huile,Oil pump,Ölpumpe,Bomba de aceite
Moteur,Reniflard d'huile,PCV valve,Kurbelgehäuseentlüftung,Válvula PCV
Distribution,Courroie de distribution,Timing belt,Zahnriemen,Correa de distribución
Distribution,Chaîne de distribution,Timing chain,Steuerkette,Cadena de distribución
Distribution,Galet tendeur,Tensioner pulley,Spannrolle,Rodillo tensor
Distribution,Galet enrouleur,Idler pulley,Umlenkrolle,Rodillo guía
Distribution,Courroie d'accessoire,Serpentine belt,Keilrippenriemen,Correa de accesorios
Distribution,Poulie Damper,Crankshaft pulley,Riemenscheibe,Polea del cigüeñal
Alimentation,Pompe à carburant,Fuel pump,Kraftstoffpumpe,Bomba de combustible
Alimentation,Injecteur,Fuel injector,Einspritzventil,Inyector
Alimentation,Rampe d'injection,Fuel rail,Kraftstoffverteilerrohr,Rampa de inyección
Alimentation,Régulateur de pression de carburant,Fuel pressure regulator,Kraftstoffdruckregler,Regulador de presión de combustible
Alimentation,Boîtier papillon,Throttle body,Drosselklappe,Cuerpo de mariposa
Alimentation,Réservoir de carburant,Fuel tank,Kraftstofftank,Depósito de combustible
Alimentation,Filtre à carburant,Fuel filter,Kraftstofffilter,Filtro de combustible
Échappement,Collecteur d'échappement,Exhaust manifold,Abgaskrümmer,Colector de escape
Échappement,Turbocompresseur,Turbocharger,Turbolader,Turbocompresor
Échappement,Échangeur thermique (Intercooler),Intercooler,Ladeluftkühler,Intercooler
Échappement,Catalyseur,Catalytic converter,Katalysator,Catalizador
Échappement,Filtre à particules (FAP),Particulate filter (DPF),Partikelfilter (DPF),Filtro de partículas
Échappement,Sonde lambda,Oxygen sensor (O2),Lambdasonde,Sonda lambda
Échappement,Vanne EGR,EGR valve,AGR-Ventil,Válvula EGR
Échappement,Silencieux central,Center muffler,Mittelschalldämpfer,Silenciador central
Échappement,Silencieux arrière,Rear muffler,Endschalldämpfer,Silenciador trasero
Échappement,Silentbloc d'échappement,Exhaust hanger,Auspuffgummi,Soporte de escape
Refroidissement,Radiateur,Radiator,Wasserkühler,Radiador
